,ID,Sample,Texapon SB 3 KC,Plantapon ACG 50,Plantapon LC 7,Plantacare 818,Plantacare 2000,Dehyton MC,Dehyton PK 45,Dehyton ML,Dehyton AB 30,Plantapon Amino SCG-L,Plantapon Amino KG-L,Dehyquart A-CA,Luviquat Excellence,Dehyquart CC6,Dehyquart CC7 Benz,Salcare Super 7,Arlypon F,Arlypon TT,Water,Sample Density
1,1,1,6.52,0,0,0,0,0,0,8.63,0,0,0,0,0.98,0,0,0,0,3.35,80.52,1.01
2,2,2,7.7,0,0,0,0,0,0,8.55,0,0,0,0,1.88,0,0,0,0,4,77.87,1.01
3,3,3,12.23,0,0,0,0,0,0,10.13,0,0,0,0,1,0,0,0,0,2.62,74.02,1.02
4,4,4,12.2,0,0,0,0,0,0,13.54,0,0,0,0,1.43,0,0,0,0,4.65,68.18,1.02
5,5,5,8.71,0,0,0,0,0,0,9.46,0,0,0,0,1.12,0,0,0,0,4.6,76.11,1.02
6,6,6,9.8,0,0,0,0,0,0,8.91,0,0,0,0,1.54,0,0,0,0,5.16,74.59,1.02
7,7,7,0,0,0,11.53,0,0,0,0,0,0,0,9.53,1.52,0,0,0,0,2.69,74.73,1.01
8,8,8,0,0,0,11.64,0,0,0,0,0,0,0,11.79,2.66,0,0,0,0,2.75,71.16,1.01
9,9,9,0,0,0,8.96,0,0,0,0,0,0,0,11.93,1.76,0,0,0,0,3.4,73.95,1
10,10,10,0,0,0,8.4,0,0,0,0,0,0,0,11.21,2.33,0,0,0,0,4.57,73.49,1
11,11,11,0,0,0,9.99,0,0,0,0,0,0,0,8.18,1.78,0,0,0,0,1.66,78.39,1.01
12,12,12,0,0,0,12.46,0,0,0,0,0,0,0,11.9,2.2,0,0,0,0,3.44,70,1.01
13,13,13,0,0,0,0,0,0,8.61,0,10.15,0,0,0,1.58,0,0,0,0,4.08,75.58,1.01
14,14,14,0,0,0,0,0,0,11.98,0,8.47,0,0,0,2.34,0,0,0,0,2.29,74.92,1.01
15,15,15,0,0,0,0,0,0,11.1,0,10.88,0,0,0,2.49,0,0,0,0,2.61,72.92,1.01
16,16,16,0,0,0,0,0,0,12.85,0,11.66,0,0,0,2.68,0,0,0,0,1.74,71.07,1.01
17,17,17,0,0,0,0,0,0,10.27,0,9.72,0,0,0,2.92,0,0,0,0,2.29,74.8,1.01
18,18,18,0,0,0,0,0,0,12.46,0,8.71,0,0,0,1.56,0,0,0,0,3.12,74.15,1.01
19,19,19,0,0,0,0,0,0,0,0,0,8.66,8.15,0,0.78,0,0,0,0,2.84,79.57,1
20,20,20,0,0,0,0,0,0,0,0,0,11.29,10.2,0,0.99,0,0,0,0,2.8,74.72,1.01
21,21,21,0,0,0,0,0,0,0,0,0,10.85,8.31,0,1.47,0,0,0,0,2.6,76.77,1.01
22,22,22,0,0,0,0,0,0,0,0,0,12.15,10.39,0,0.97,0,0,0,0,4.33,72.16,1.01
23,23,23,0,0,0,0,0,0,0,0,0,10.15,8.05,0,2.42,0,0,0,0,3.35,76.03,1.01
24,24,24,0,0,0,0,0,0,0,0,0,10.72,11.78,0,2.12,0,0,0,0,4.04,71.34,1.01
25,25,25,0,11.96,0,0,0,12.31,0,0,0,0,0,0,1.79,0,0,0,0,2.35,71.59,1.03
26,26,26,0,13.43,0,0,0,9.65,0,0,0,0,0,0,2.15,0,0,0,0,4.35,70.42,1.03
27,27,27,0,8.88,0,0,0,13.07,0,0,0,0,0,0,1.31,0,0,0,0,2.19,74.55,1.02
28,28,28,0,11.68,0,0,0,9.86,0,0,0,0,0,0,1.49,0,0,0,0,1.66,75.31,1.02
29,29,29,0,10.14,0,0,0,13.26,0,0,0,0,0,0,2.41,0,0,0,0,3.18,71.01,1.03
30,30,30,0,8.54,0,0,0,12.61,0,0,0,0,0,0,2.78,0,0,0,0,4.36,71.71,1.02
31,31,31,0,0,7.99,0,12.56,0,0,0,0,0,0,0,1.82,0,0,0,0,1.95,75.68,1.02
32,32,32,0,0,12.68,0,9.81,0,0,0,0,0,0,0,2.54,0,0,0,0,4.01,70.96,1.02
33,33,33,0,0,12.14,0,12.58,0,0,0,0,0,0,0,1.21,0,0,0,0,4.82,69.25,1.02
34,34,34,0,0,9.01,0,8.88,0,0,0,0,0,0,0,2.29,0,0,0,0,2.19,77.63,1.01
35,35,35,0,0,13.11,0,9.28,0,0,0,0,0,0,0,2.93,0,0,0,0,3.59,71.09,1.02
36,36,36,0,0,9.16,0,9.22,0,0,0,0,0,0,0,2.68,0,0,0,0,5.08,73.86,1.01
37,37,37,6.69,10.41,0,0,0,0,0,0,0,0,0,0,1.12,0,0,0,0,2.67,79.11,1.02
38,38,38,12.24,0,9.42,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,1.97,76.07,1.02
39,39,39,12.12,0,0,11.35,0,0,0,0,0,0,0,0,1.78,0,0,0,0,3.44,71.31,1.02
40,40,40,7.7,0,0,0,10.74,0,0,0,0,0,0,0,2.42,0,0,0,0,4.77,74.37,1.02
41,41,41,7.58,0,0,0,0,8.57,0,0,0,0,0,0,1.72,0,0,0,0,2.16,79.97,1.02
42,42,42,12.19,0,0,0,0,0,12.32,0,0,0,0,0,0.95,0,0,0,0,2.59,71.95,1.02
43,43,43,0,0,0,0,0,0,0,0,12.44,8.12,0,0,0.98,0,0,0,0,2.25,76.21,1.01
44,44,44,9.24,0,0,0,0,0,0,0,11.17,0,0,0,1.68,0,0,0,0,2.84,75.07,1.01
45,45,45,8.12,0,0,0,0,0,0,0,0,9.81,0,0,2.11,0,0,0,0,4.19,75.77,1.01
46,46,46,10.95,0,0,0,0,0,0,0,0,0,10.36,0,1.75,0,0,0,0,5.17,71.77,1.01
47,47,47,7.39,0,0,0,0,0,0,0,0,0,0,10.19,2.53,0,0,0,0,4.71,75.18,1
48,48,48,0,10.9,9.89,0,0,0,0,0,0,0,0,0,2.56,0,0,0,0,3.32,73.33,1.02
49,49,49,0,8.25,0,8.05,0,0,0,0,0,0,0,0,1.06,0,0,0,0,3.19,79.45,1.02
50,50,50,0,8.55,0,0,11.09,0,0,0,0,0,0,0,2.21,0,0,0,0,4.82,73.33,1.02
51,51,51,0,0,0,0,0,0,0,0,0,10.58,0,10.27,2.73,0,0,0,0,4.03,72.39,1
52,52,52,0,8.33,0,0,0,0,12.09,0,0,0,0,0,1.33,0,0,0,0,2.32,75.93,1.02
53,53,53,0,10.27,0,0,0,0,0,6.75,0,0,0,0,2.03,0,0,0,0,2.85,78.1,1.02
54,54,54,0,8.36,0,0,0,0,0,0,12.32,0,0,0,2.69,0,0,0,0,4.27,72.36,1.01
55,55,55,0,12.75,0,0,0,0,0,0,0,11.02,0,0,2.58,0,0,0,0,3.38,70.27,1.02
56,56,56,0,12.2,0,0,0,0,0,0,0,0,9.12,0,2.57,0,0,0,0,3.05,73.06,1.02
57,57,57,0,8.82,0,0,0,0,0,0,0,0,0,9.6,2.02,0,0,0,0,2.3,77.26,1.01
58,58,58,0,0,11.52,7.5,0,0,0,0,0,0,0,0,2.81,0,0,0,0,4.36,73.81,1.01
59,59,59,0,0,0,0,0,0,0,0,0,0,9.57,10.58,1.71,0,0,0,0,3.03,75.11,1
60,60,60,0,0,9,0,0,8.25,0,0,0,0,0,0,2.32,0,0,0,0,3.74,76.69,1.01
61,61,61,0,0,12.1,0,0,0,7.86,0,0,0,0,0,1.53,0,0,0,0,1.57,76.94,1.01
62,62,62,0,0,12.12,0,0,0,0,8.03,0,0,0,0,2.31,0,0,0,0,1.45,76.09,1.01
63,63,63,0,0,11.88,0,0,0,0,0,12,0,0,0,1.91,0,0,0,0,2.91,71.3,1.01
64,64,64,0,0,8,0,0,0,0,0,0,9.22,0,0,1.36,0,0,0,0,4.85,76.57,1.01
65,65,65,0,0,13.05,0,0,0,0,0,0,0,11.51,0,1.93,0,0,0,0,3.46,70.05,1.01
66,66,66,0,0,12.38,0,0,0,0,0,0,0,0,10.58,2.46,0,0,0,0,2.31,72.27,1
67,67,67,0,0,0,9.36,12.58,0,0,0,0,0,0,0,1.52,0,0,0,0,2.74,73.8,1.02
68,68,68,0,0,0,12.84,0,11.6,0,0,0,0,0,0,0.98,0,0,0,0,3.17,71.41,1.02
69,69,69,0,0,0,9.23,0,0,8.61,0,0,0,0,0,2.1,0,0,0,0,1.4,78.66,1.01
70,70,70,0,0,0,10.14,0,0,0,10.88,0,0,0,0,1.67,0,0,0,0,3.71,73.6,1.02
71,71,71,0,0,0,10.66,0,0,0,0,8.01,0,0,0,1.63,0,0,0,0,4.69,75.01,1.01
72,72,72,0,0,0,10.63,0,0,0,0,0,9.67,0,0,1.84,0,0,0,0,2.65,75.21,1.01
73,73,73,0,0,0,11.2,0,0,0,0,0,0,10.05,0,2.17,0,0,0,0,4.47,72.11,1.01
74,74,74,0,0,0,0,0,0,0,0,8.1,0,11.98,0,1.45,0,0,0,0,4.83,73.64,1
75,75,75,0,0,0,0,8.64,9.05,0,0,0,0,0,0,3.03,0,0,0,0,2.35,76.93,1.02
76,76,76,0,0,0,0,13.91,0,8.12,0,0,0,0,0,2.4,0,0,0,0,2.63,72.94,1.02
77,77,77,0,0,0,0,9.44,0,0,9.9,0,0,0,0,2.98,0,0,0,0,3.46,74.22,1.02
78,78,78,0,0,0,0,10.18,0,0,0,9.29,0,0,0,1.31,0,0,0,0,1.93,77.29,1.01
79,79,79,0,0,0,0,8.95,0,0,0,0,9.87,0,0,2.46,0,0,0,0,3.05,75.67,1.01
