ID,Texapon SB 3 KC,Plantapon ACG 50,Plantapon LC 7,Plantacare 818,Plantacare 2000,Dehyton MC,Dehyton PK 45,Dehyton ML,Dehyton AB 30,Plantapon Amino SCG-L,Plantapon Amino KG-L,Dehyquart A-CA,Luviquat Excellence,Dehyquart CC6,Dehyquart CC7 Benz,Salcare Super 7,Arlypon F,Arlypon TT,Stability_Test,Turbidity/NTU,Viscosity_10/cP,Newtonian
1,6.52,0.00,0.00,0.00,0.00,0.00,0.00,8.63,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.00,0.00,3.35,FALSE,NA,NA,NA
2,7.70,0.00,0.00,0.00,0.00,0.00,0.00,8.55,0.00,0.00,0.00,0.00,1.88,0.00,0.00,0.00,0.00,4.00,FALSE,NA,NA,NA
3,12.23,0.00,0.00,0.00,0.00,0.00,0.00,10.13,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.62,FALSE,NA,NA,NA
4,12.20,0.00,0.00,0.00,0.00,0.00,0.00,13.54,0.00,0.00,0.00,0.00,1.43,0.00,0.00,0.00,0.00,4.65,FALSE,NA,NA,NA
5,8.71,0.00,0.00,0.00,0.00,0.00,0.00,9.46,0.00,0.00,0.00,0.00,1.12,0.00,0.00,0.00,0.00,4.60,FALSE,NA,NA,NA
6,9.80,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.00,0.00,0.00,0.00,1.54,0.00,0.00,0.00,0.00,5.16,FALSE,NA,NA,NA
7,0.00,0.00,0.00,11.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.53,1.52,0.00,0.00,0.00,0.00,2.69,TRUE,491,293,FALSE
8,0.00,0.00,0.00,11.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.79,2.66,0.00,0.00,0.00,0.00,2.75,TRUE,299,168,FALSE
9,0.00,0.00,0.00,8.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.93,1.76,0.00,0.00,0.00,0.00,3.40,FALSE,NA,NA,NA
10,0.00,0.00,0.00,8.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.21,2.33,0.00,0.00,0.00,0.00,4.57,FALSE,NA,NA,NA
11,0.00,0.00,0.00,9.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.18,1.78,0.00,0.00,0.00,0.00,1.66,TRUE,25,516,FALSE
12,0.00,0.00,0.00,12.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.90,2.20,0.00,0.00,0.00,0.00,3.44,FALSE,NA,NA,NA
13,0.00,0.00,0.00,0.00,0.00,0.00,8.61,0.00,10.15,0.00,0.00,0.00,1.58,0.00,0.00,0.00,0.00,4.08,FALSE,NA,NA,NA
14,0.00,0.00,0.00,0.00,0.00,0.00,11.98,0.00,8.47,0.00,0.00,0.00,2.34,0.00,0.00,0.00,0.00,2.29,TRUE,33,1615,FALSE
15,0.00,0.00,0.00,0.00,0.00,0.00,11.10,0.00,10.88,0.00,0.00,0.00,2.49,0.00,0.00,0.00,0.00,2.61,TRUE,35,1776,FALSE
16,0.00,0.00,0.00,0.00,0.00,0.00,12.85,0.00,11.66,0.00,0.00,0.00,2.68,0.00,0.00,0.00,0.00,1.74,TRUE,16,21,TRUE
17,0.00,0.00,0.00,0.00,0.00,0.00,10.27,0.00,9.72,0.00,0.00,0.00,2.92,0.00,0.00,0.00,0.00,2.29,TRUE,48,1003,FALSE
18,0.00,0.00,0.00,0.00,0.00,0.00,12.46,0.00,8.71,0.00,0.00,0.00,1.56,0.00,0.00,0.00,0.00,3.12,TRUE,332,127,FALSE
19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.66,8.15,0.00,0.78,0.00,0.00,0.00,0.00,2.84,FALSE,NA,NA,NA
20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.29,10.20,0.00,0.99,0.00,0.00,0.00,0.00,2.80,FALSE,NA,NA,NA
21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.85,8.31,0.00,1.47,0.00,0.00,0.00,0.00,2.60,FALSE,NA,NA,NA
22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.15,10.39,0.00,0.97,0.00,0.00,0.00,0.00,4.33,FALSE,NA,NA,NA
23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.15,8.05,0.00,2.42,0.00,0.00,0.00,0.00,3.35,FALSE,NA,NA,NA
24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.72,11.78,0.00,2.12,0.00,0.00,0.00,0.00,4.04,FALSE,NA,NA,NA
25,0.00,11.96,0.00,0.00,0.00,12.31,0.00,0.00,0.00,0.00,0.00,0.00,1.79,0.00,0.00,0.00,0.00,2.35,TRUE,32,6,TRUE
26,0.00,13.43,0.00,0.00,0.00,9.65,0.00,0.00,0.00,0.00,0.00,0.00,2.15,0.00,0.00,0.00,0.00,4.35,TRUE,1404,431,FALSE
27,0.00,8.88,0.00,0.00,0.00,13.07,0.00,0.00,0.00,0.00,0.00,0.00,1.31,0.00,0.00,0.00,0.00,2.19,TRUE,36,10,FALSE
28,0.00,11.68,0.00,0.00,0.00,9.86,0.00,0.00,0.00,0.00,0.00,0.00,1.49,0.00,0.00,0.00,0.00,1.66,TRUE,20,3,FALSE
29,0.00,10.14,0.00,0.00,0.00,13.26,0.00,0.00,0.00,0.00,0.00,0.00,2.41,0.00,0.00,0.00,0.00,3.18,TRUE,479,187,TRUE
30,0.00,8.54,0.00,0.00,0.00,12.61,0.00,0.00,0.00,0.00,0.00,0.00,2.78,0.00,0.00,0.00,0.00,4.36,FALSE,NA,NA,NA
31,0.00,0.00,7.99,0.00,12.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.82,0.00,0.00,0.00,0.00,1.95,FALSE,NA,NA,NA
32,0.00,0.00,12.68,0.00,9.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.54,0.00,0.00,0.00,0.00,4.01,FALSE,NA,NA,NA
33,0.00,0.00,12.14,0.00,12.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.21,0.00,0.00,0.00,0.00,4.82,TRUE,1065,1287,FALSE
34,0.00,0.00,9.01,0.00,8.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.29,0.00,0.00,0.00,0.00,2.19,FALSE,NA,NA,NA
35,0.00,0.00,13.11,0.00,9.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.93,0.00,0.00,0.00,0.00,3.59,FALSE,NA,NA,NA
36,0.00,0.00,9.16,0.00,9.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.68,0.00,0.00,0.00,0.00,5.08,FALSE,NA,NA,NA
37,6.69,10.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.12,0.00,0.00,0.00,0.00,2.67,FALSE,NA,NA,NA
38,12.24,0.00,9.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,1.97,FALSE,NA,NA,NA
39,12.12,0.00,0.00,11.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.78,0.00,0.00,0.00,0.00,3.44,FALSE,NA,NA,NA
40,7.70,0.00,0.00,0.00,10.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.42,0.00,0.00,0.00,0.00,4.77,FALSE,NA,NA,NA
41,7.58,0.00,0.00,0.00,0.00,8.57,0.00,0.00,0.00,0.00,0.00,0.00,1.72,0.00,0.00,0.00,0.00,2.16,FALSE,NA,NA,NA
42,12.19,0.00,0.00,0.00,0.00,0.00,12.32,0.00,0.00,0.00,0.00,0.00,0.95,0.00,0.00,0.00,0.00,2.59,FALSE,NA,NA,NA
43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.44,8.12,0.00,0.00,0.98,0.00,0.00,0.00,0.00,2.25,FALSE,NA,NA,NA
