ID,Sample,Texapon SB 3 KC,Plantapon ACG 50,Plantapon LC 7,Plantacare 818,Plantacare 2000,Dehyton MC,Dehyton PK 45,Dehyton ML,Dehyton AB 30,Plantapon Amino SCG-L,Plantapon Amino KG-L,Dehyquart A-CA,Luviquat Excellence,Dehyquart CC6,Dehyquart CC7 Benz,Salcare Super 7,Arlypon F,Arlypon TT,Water,Sample Density
1,S1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,5.0,0.0,2.7,0.0,0.0,0.0,0.0,4.2,84.6,1.004
2,S2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,2.2,0.0,4.0,0.0,0.0,0.0,0.0,4.6,86.4,1.004
3,S3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0,0.0,4.7,0.0,2.1,0.0,0.0,0.0,0.0,2.9,83.2,1.006
4,S4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,0.0,0.0,7.7,0.0,3.2,0.0,0.0,0.0,0.0,5.5,76.2,1.008
5,S5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,3.6,0.0,2.6,0.0,0.0,0.0,0.0,4.8,84.7,1.004
6,S6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,2.3,0.0,3.4,0.0,0.0,0.0,0.0,5.9,82.9,1.005
7,S7,0.0,0.0,6.9,0.0,0.0,0.0,7.1,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.3,78.7,1.01
8,S8,0.0,0.0,7.8,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,5.3,78.4,1.009
9,S9,0.0,0.0,3.1,0.0,0.0,0.0,7.4,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,2.4,84.3,1.007
10,S10,0.0,0.0,6.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.1,84.6,1.007
11,S11,0.0,0.0,4.5,0.0,0.0,0.0,7.9,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,78.6,1.01
12,S12,0.0,0.0,2.9,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,5.1,79.1,1.009
13,S13,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,2.9,81.3,1.008
14,S14,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,5.2,79.5,1.009
15,S15,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,5.7,79.7,1.007
16,S16,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,2.5,86.3,1.006
17,S17,0.0,0.0,0.0,6.8,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.5,79.3,1.011
18,S18,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,6.0,81.8,1.007
19,S19,2.5,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,3.7,88.5,1.005
20,S20,4.7,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,3.2,83.8,1.011
21,S21,2.3,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,2.8,86.1,1.009
