,CS(=O)(=O)[O-],[Na+],COC,COC(C)=O,CC(=O)[O-],[H]N(C)C(C)=O,[H]OC(C)=O,[H]OC,[H]C(C)(OC)OC,CN(C)C,C[N+](C)(C)C,CC1=NCC[N+]1(C)C,[K+],[Cl-],$(CH_2)^{'}_x$
Texapon SB 3 KC,0.1881473122839475,0.09107858285730142,0.27361265441903354,0.1466592764921075,0.11690039785709799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4864674440146656
Plantapon ACG 50,0.0,0.13692259979834717,0.0,0.0,0.351483430899075,0.21754922618877678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4864674440146656
Plantapon LC 7,0.0,0.0,0.6958971263105295,0.1598606655001981,0.0,0.0,0.2591959768767259,0.06915119812538335,0.0,0.0,0.0,0.0,0.0,0.0,-1.4063224022791718
Plantacare 818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49133876890420286,0.3454509038672749,0.0,0.0,0.0,0.0,0.0,-0.7961512470386886
Plantacare 2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38959628989373396,0.2739177101519701,0.0,0.0,0.0,0.0,0.0,-0.39410226069636656
Dehyton MC,0.0,0.06533752677408838,0.0,0.0,0.16772291872078504,0.20762282357660863,0.0,0.09102151355491413,0.0,0.1678924393184707,0.0,0.0,0.0,0.0,0.4864674440146656
Dehyton PK 45,0.0,0.0,0.0,0.0,0.16818725210956556,0.20819761806501128,0.0,0.0,0.0,0.0,0.21117201523662005,0.0,0.0,0.0,0.4864674440146656
Dehyton ML,0.0,0.10169367116765761,0.0,0.0,0.2610499690728346,0.0,0.0,0.1416691498078988,0.0,0.0,0.0,0.5003344501577531,0.0,0.0,-1.7114079798994137
Dehyton AB 30,0.0,0.08214908093739447,0.0,0.0,0.21087856099435354,0.0,0.0,0.0,0.0,0.0,0.2647742331051701,0.0,0.0,0.0,0.4864674440146656
Plantapon Amino SCG-L,0.0,0.17313387936688301,0.0,0.0,0.4444386099472324,0.27508345254032407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18598009179820524
Plantapon Amino KG-L,0.0,0.0,0.0,0.0,0.30119932319344767,0.186426084215995,0.0,0.0,0.0,0.0,0.0,0.0,0.19886308501071437,0.0,2.247606853436729
Dehyquart A-CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3760983063201139,0.0,0.0,0.1774975303350549,-0.18598009179820524
