name,density,type
Texapon SB 3 KC,1.128,surfactant
Plantapon ACG 50,1.147,surfactant
Plantapon LC 7,1.07,surfactant
Plantacare 818,1.104,surfactant
Plantacare 2000,1.103,surfactant
Dehyton MC,1.097,surfactant
Dehyton PK 45,1.062,surfactant
Dehyton ML,1.084,surfactant
Dehyton AB 30,1.031,surfactant
Plantapon Amino SCG-L,1.051,surfactant
Plantapon Amino KG-L,1.028,surfactant
Dehyquart A-CA,0.955,surfactant
Luviquat Excellence,1.118,polyelectrolyte
Dehyquart CC6,1.067,polyelectrolyte
Dehyquart CC7 Benz,1.024,polyelectrolyte
Salcare Super 7,1.121,polyelectrolyte
Arlypon F,0.887,thickener
Arlypon TT,0.97,thickener
Water,0.998,solvent
