,Time,Mass
0,0,0.002
1,2,0.002
2,4,0.0
3,6,0.0
4,8,0.002
5,10,0.002
6,12,0.0
7,14,0.0
8,16,-0.001
9,18,-0.001
10,20,0.004
11,22,0.004
12,24,0.004
13,26,0.0
14,28,0.004
15,30,0.0
16,32,0.0
17,34,0.0
18,36,-0.001
19,38,0.002
20,40,0.0
21,42,0.0
22,44,0.0
23,46,0.0
24,48,0.0
25,50,-0.005
26,52,0.0
27,54,0.002
28,56,0.0
29,58,0.0
30,60,0.001
31,62,0.001
32,64,-0.003
33,66,0.003
34,68,0.001
35,70,0.002
36,72,0.0
37,74,0.0
38,76,-0.003
39,78,-0.003
40,80,-0.003
41,82,-0.004
42,84,-0.004
43,86,-0.004
44,88,-0.004
45,90,-0.001
46,92,0.0
47,94,0.0
48,96,-0.002
49,98,-0.002
50,100,-0.001
51,102,0.0
52,104,-0.001
53,106,-0.001
54,108,0.0
55,110,0.0
56,112,0.0
57,114,0.0
58,116,0.003
59,118,0.002
60,120,0.004
61,122,0.002
62,124,0.002
63,126,0.002
64,128,0.002
65,130,0.0
66,132,0.002
67,134,0.002
68,136,-0.001
69,138,-0.001
70,140,0.0
71,142,-0.002
72,144,0.0
73,146,-0.001
74,148,-0.001
75,150,-0.001
76,152,0.003
77,154,0.0
78,156,-0.001
79,158,0.003
80,160,0.003
81,162,0.007
82,164,0.004
83,166,0.002
84,168,0.003
85,170,0.003
86,172,0.0
87,174,0.0
88,176,0.0
89,178,-0.001
90,180,0.0
91,182,0.0
92,184,0.002
93,186,0.003
94,188,0.002
95,190,0.002
96,192,0.002
97,194,-0.001
98,196,0.0
99,198,0.0
100,200,0.0
101,202,0.0
102,204,0.0
103,206,0.0
104,208,-0.001
105,210,-0.002
106,212,-0.001
107,214,-0.003
108,216,0.002
109,218,0.0
110,220,0.0
111,222,0.0
112,224,0.001
113,226,-0.002
114,228,0.0
115,230,0.001
116,232,0.0
117,234,0.0
118,236,-0.001
119,238,0.0
120,240,-0.001
121,242,-0.001
122,244,-0.001
123,246,0.0
124,248,-0.001
125,250,0.0
126,252,-0.001
127,254,-0.001
128,256,-0.004
129,258,-0.002
130,260,-0.002
131,262,0.0
132,264,0.0
133,266,0.001
134,268,-0.002
135,270,0.982
136,272,0.982
137,274,0.983
138,276,0.983
139,278,1.984
140,280,1.984
141,282,1.985
142,284,1.984
143,286,2.983
144,288,2.983
145,290,2.988
146,292,2.988
147,294,3.977
148,296,3.976
149,298,3.976
150,300,3.976
151,302,4.968
152,304,4.969
153,306,4.969
154,308,4.969
155,310,5.958
156,312,5.958
157,314,5.958
158,316,5.959
159,318,6.955
160,320,6.955
161,322,6.953
162,324,7.71
163,326,7.71
164,328,7.71
165,330,8.472
166,332,8.471
167,334,8.472
168,336,8.47
169,338,9.455
170,340,9.455
171,342,9.454
172,344,9.456
173,346,10.446
174,348,10.446
175,350,10.449
176,352,10.45
177,354,11.441
178,356,11.441
179,358,11.443
180,360,11.445
181,362,12.428
182,364,12.428
183,366,12.425
184,368,12.426
185,370,13.417
186,372,13.416
187,374,13.416
188,376,13.417
189,378,14.395
190,380,14.396
191,382,14.395
192,384,14.394
193,386,15.388
194,388,15.388
195,390,15.385
196,392,16.209
197,394,16.209
198,396,16.209
199,398,17.055
200,400,17.055
201,402,17.055
202,404,17.056
203,406,18.038
204,408,18.039
205,410,18.039
206,412,18.037
207,414,19.017
208,416,19.018
209,418,19.018
210,420,19.018
211,422,20.015
212,424,20.014
213,426,20.013
214,428,21.006
215,430,21.006
216,432,21.006
217,434,21.008
218,436,21.99
219,438,22.975
220,440,22.975
221,442,22.975
222,444,22.975
223,446,22.975
224,448,23.96
225,450,23.959
226,452,24.634
227,454,24.634
228,456,25.328
229,458,25.328
230,460,25.323
231,462,25.323
232,464,26.33
233,466,26.329
234,468,26.328
235,470,26.329
236,472,27.317
237,474,27.317
238,476,27.317
239,478,27.315
240,480,28.304
241,482,28.304
242,484,28.303
243,486,28.302
244,488,29.285
245,490,29.285
246,492,29.293
247,494,29.291
248,496,30.268
249,498,30.268
250,500,30.267
251,502,30.269
252,504,30.271
253,506,31.265
254,508,31.265
255,510,31.262
256,512,31.262
257,514,32.114
258,516,32.114
259,518,32.114
260,520,32.967
261,522,32.967
262,524,32.969
263,526,32.969
264,528,33.95
265,530,33.948
266,532,33.947
267,534,33.951
268,536,34.934
269,538,34.934
270,540,34.934
271,542,34.933
272,544,34.933
273,546,35.923
274,548,35.924
275,550,35.925
276,552,36.906
277,554,36.906
278,556,36.903
279,558,37.884
280,560,37.883
281,562,37.881
282,564,38.88
283,566,38.88
284,568,38.878
285,570,38.877
286,572,39.864
287,574,39.864
288,576,39.866
289,578,40.624
290,580,40.62
291,582,40.62
292,584,40.62
293,586,41.378
294,588,41.379
295,590,41.379
296,592,41.379
297,594,42.362
298,596,42.362
299,598,42.362
300,600,42.362
301,602,43.34
302,604,43.34
303,606,43.337
304,608,43.337
305,610,44.32
306,612,44.32
307,614,44.319
308,616,44.319
309,618,45.322
310,620,45.323
311,622,45.322
312,624,45.322
313,626,46.316
314,628,46.316
315,630,46.316
316,632,46.316
317,634,47.309
318,636,47.307
319,638,47.306
320,640,47.306
321,642,48.302
322,644,48.302
323,646,48.301
324,648,48.954
325,650,48.954
326,652,48.951
327,654,49.605
328,656,49.605
329,658,49.605
330,660,49.605
331,662,49.609
332,664,49.605
333,666,49.603
334,668,49.607
335,670,49.604
336,672,49.607
337,674,49.607
338,676,49.603
339,678,49.603
340,680,49.603
341,682,49.602
342,684,49.606
343,686,49.601
344,688,49.602
345,690,49.602
346,692,49.601
347,694,49.602
348,696,49.601
349,698,49.601
350,700,49.6
351,702,49.598
352,704,49.599
353,706,49.596
354,708,49.798
355,710,49.801
356,712,49.799
357,714,49.801
358,716,49.799
359,718,49.799
360,720,49.826
361,722,49.824
362,724,49.851
363,726,49.851
364,728,49.849
365,730,49.851
366,732,49.847
367,734,49.847
368,736,49.867
369,738,49.867
370,740,49.868
371,742,49.868
372,744,49.866
373,746,49.866
374,748,49.866
375,750,49.861
376,752,49.868
377,754,49.868
378,756,49.87
379,758,49.87
380,760,49.868
381,762,49.868
382,764,49.866
383,766,49.866
384,768,49.867
385,770,50.084
386,772,50.084
387,774,50.085
388,776,50.085
389,778,50.085
390,780,50.112
391,782,50.113
392,784,50.137
393,786,50.136
394,788,50.135
395,790,50.135
396,792,50.134
397,794,50.134
398,796,50.132
399,798,50.134
400,800,50.136
401,802,50.135
402,804,50.132
403,806,50.133
404,808,50.133
405,810,50.133
406,812,50.132
407,814,50.132
408,816,50.132
409,818,50.132
410,820,50.133
411,822,50.132
412,824,50.132
413,826,50.131
414,828,50.132
415,830,50.133
416,832,50.133
417,834,50.133
418,836,50.13
419,838,50.131
420,840,50.13
421,842,50.129
422,844,50.129
423,846,50.63
424,848,50.63
425,850,50.63
426,852,50.63
427,854,50.628
428,856,50.629
429,858,50.656
430,860,50.656
431,862,50.679
432,864,50.681
433,866,50.7
434,868,50.701
435,870,50.728
436,872,50.728
437,874,50.726
438,876,50.726
439,878,50.728
440,880,50.728
441,882,50.728
442,884,50.726
443,886,50.726
444,888,50.725
445,890,50.724
446,892,50.724
447,894,50.725
448,896,50.725
449,898,50.723
450,900,50.723
451,902,50.724
452,904,50.722
453,906,50.723
454,908,50.722
455,910,50.725
456,912,50.724
457,914,50.724
458,916,50.726
459,918,50.727
460,920,50.725
461,922,50.722
462,924,50.721
463,926,50.721
464,928,51.322
465,930,51.322
466,932,51.32
467,934,51.319
468,936,51.319
469,938,51.322
470,940,51.349
471,942,51.347
472,944,51.393
473,946,51.393
474,948,51.415
475,950,51.416
476,952,51.444
477,954,51.444
478,956,51.444
479,958,51.442
480,960,51.441
481,962,51.441
482,964,51.442
483,966,51.441
484,968,51.441
485,970,51.44
