Time,Mass
0,0
2,0
4,0
6,0
8,0
10,0
12,0
14,0
16,0
18,0
20,0
22,0
24,0
26,0
28,0
30,0
32,0
34,0
36,0
38,0
40,0
42,0
44,0
46,-0.001
48,0
50,0
52,0
54,0
56,0
58,0
60,0
62,0.001
64,0
66,0
68,0.001
70,0
72,0.003
74,0.002
76,0
78,0
80,0.986
82,0.986
84,0.986
86,0.985
88,1.981
90,1.981
92,1.98
94,1.98
96,2.961
98,2.963
100,2.965
102,2.964
104,2.964
106,3.959
108,3.959
110,3.958
112,3.957
114,4.953
116,4.952
118,4.952
120,4.953
122,5.943
124,5.945
126,5.947
128,5.946
130,5.946
132,6.686
134,6.685
136,6.685
138,6.684
140,7.424
142,7.427
144,7.428
146,7.427
148,7.427
150,8.411
152,8.413
154,8.416
156,8.415
158,8.415
160,9.403
162,9.403
164,9.402
166,9.402
168,10.391
170,10.394
172,10.396
174,10.395
176,10.394
178,10.394
180,11.383
182,11.385
184,11.384
186,11.384
188,12.373
190,12.373
192,12.372
194,12.371
196,13.356
198,13.358
200,13.36
202,13.36
204,13.359
206,14.3
208,14.302
210,14.304
212,14.303
214,14.303
216,15.245
218,15.248
220,15.249
222,15.249
224,15.249
226,16.25
228,16.25
230,16.248
232,16.249
234,17.244
236,17.244
238,17.242
240,17.242
242,18.231
244,18.231
246,18.23
248,18.23
250,19.224
252,19.224
254,19.223
256,19.223
258,20.222
260,20.221
262,20.22
264,20.22
266,21.208
268,21.207
270,21.206
272,21.206
274,21.942
276,21.941
278,21.94
280,21.94
282,22.678
284,22.678
286,22.677
288,22.676
290,23.665
292,23.664
294,23.663
296,23.663
298,24.657
300,24.656
302,24.655
304,24.655
306,25.643
308,25.642
310,25.641
312,25.641
314,26.655
316,26.654
318,26.652
320,26.652
322,27.667
324,27.666
326,27.665
328,27.665
330,28.658
332,28.657
334,28.656
336,29.393
338,29.391
340,29.391
342,29.39
344,30.126
346,30.125
348,30.123
350,30.123
352,31.114
354,31.113
356,31.113
358,31.113
360,32.099
362,32.099
364,32.097
366,32.097
368,33.11
370,33.108
372,33.114
374,33.108
376,34.097
378,34.096
380,34.094
382,34.094
384,35.078
386,35.078
388,35.077
390,35.076
392,36.063
394,36.063
396,36.062
398,36.844
400,36.844
402,36.842
404,36.842
406,37.622
408,37.622
410,37.62
412,37.62
414,38.605
416,38.604
418,38.603
420,38.603
422,39.591
424,39.59
426,39.589
428,39.589
430,40.574
432,40.574
434,40.572
436,40.572
438,41.557
440,41.556
442,41.555
444,41.555
446,42.544
448,42.544
450,42.543
452,42.542
454,43.527
456,43.527
458,43.525
460,43.524
462,44.382
464,44.382
466,44.381
468,44.38
470,45.234
472,45.235
474,45.237
476,45.237
478,45.237
480,45.236
482,45.236
484,45.236
486,45.235
488,45.234
490,45.235
492,45.236
494,45.236
496,45.235
498,45.235
500,45.235
502,45.234
504,45.234
506,45.234
508,45.234
510,45.233
512,45.233
514,45.233
516,45.232
518,45.232
520,45.232
522,45.232
524,45.232
526,45.232
528,45.231
530,45.231
532,45.231
534,45.231
536,45.231
538,45.231
540,45.231
542,45.231
544,45.231
546,45.23
548,45.23
550,46.011
552,46.011
554,46.038
556,46.038
558,46.038
560,46.038
562,46.059
564,46.059
566,46.075
568,46.075
570,46.075
572,46.093
574,46.093
576,46.093
578,46.093
580,46.118
582,46.118
584,46.117
586,46.118
588,46.118
590,46.118
592,46.118
594,46.117
596,46.117
598,46.117
600,46.116
602,46.116
604,46.115
606,46.115
608,46.115
610,46.115
612,46.115
614,46.115
616,46.115
618,46.115
620,46.114
622,46.114
624,46.115
626,46.115
628,46.115
