,Time,Mass
0,0,0.0
1,2,0.0
2,4,0.0
3,6,0.0
4,8,0.0
5,10,0.0
6,12,0.0
7,14,0.0
8,16,0.0
9,18,0.001
10,20,0.0
11,22,-0.001
12,24,-0.001
13,26,0.0
14,28,0.0
15,30,0.0
16,32,0.0
17,34,0.0
18,36,0.0
19,38,0.0
20,40,0.0
21,42,0.0
22,44,0.0
23,46,0.0
24,48,0.0
25,50,0.0
26,52,0.0
27,54,0.0
28,56,0.0
29,58,0.0
30,60,0.0
31,62,-0.001
32,64,-0.002
33,66,-0.002
34,68,-0.001
35,70,0.002
36,72,0.998
37,74,0.998
38,76,0.997
39,78,0.997
40,80,1.994
41,82,1.994
42,84,1.994
43,86,1.993
44,88,2.958
45,90,2.958
46,92,2.958
47,94,2.958
48,96,3.96
49,98,3.96
50,100,3.959
51,102,3.958
52,104,4.96
53,106,4.96
54,108,4.959
55,110,4.959
56,112,5.961
57,114,5.961
58,116,5.961
59,118,5.961
60,120,6.962
61,122,6.962
62,124,6.961
63,126,7.657
64,128,7.657
65,130,7.657
66,132,8.352
67,134,8.352
68,136,8.352
69,138,8.352
70,140,9.33
71,142,9.33
72,144,9.33
73,146,9.33
74,148,10.329
75,150,10.329
76,152,10.329
77,154,10.329
78,156,11.326
79,158,11.326
80,160,11.326
81,162,11.326
82,164,12.296
83,166,12.296
84,168,12.296
85,170,12.296
86,172,13.293
87,174,13.293
88,176,13.293
89,178,13.294
90,180,14.298
91,182,14.3
92,184,14.299
93,186,14.299
94,188,15.301
95,190,15.301
96,192,15.301
97,194,15.301
98,196,16.04
99,198,16.04
100,200,16.04
101,202,16.039
102,204,16.039
103,206,16.779
104,208,16.779
105,210,16.779
106,212,17.781
107,214,17.781
108,216,17.78
109,218,17.78
110,220,18.783
111,222,18.783
112,224,18.783
113,226,18.783
114,228,19.785
115,230,19.785
116,232,19.785
117,234,19.784
118,236,20.787
119,238,20.786
120,240,20.785
121,242,20.785
122,244,21.783
123,246,21.783
124,248,21.782
125,250,21.782
126,252,22.784
127,254,22.784
128,256,22.782
129,258,23.786
130,260,23.786
131,262,23.786
132,264,24.359
133,266,24.358
134,268,24.358
135,270,24.964
136,272,24.964
137,274,24.963
138,276,24.963
139,278,25.967
140,280,25.966
141,282,25.965
142,284,25.965
143,286,25.965
144,288,26.968
145,290,26.968
146,292,26.968
147,294,27.973
148,296,27.972
149,298,27.972
150,300,27.971
151,302,28.976
152,304,28.975
153,306,28.974
154,308,28.974
155,310,29.977
156,312,29.977
157,314,29.976
158,316,29.976
159,318,30.98
160,320,30.979
161,322,30.978
162,324,30.978
163,326,31.974
164,328,31.974
165,330,31.973
166,332,31.973
167,334,32.969
168,336,32.969
169,338,32.967
170,340,32.967
171,342,33.97
172,344,33.97
173,346,33.968
174,348,33.968
175,350,34.971
176,352,34.97
177,354,34.969
178,356,34.969
179,358,35.972
180,360,35.972
181,362,35.97
182,364,35.97
183,366,36.973
184,368,36.973
185,370,36.973
186,372,36.971
187,374,36.971
188,376,37.974
189,378,37.972
190,380,37.972
191,382,38.975
192,384,38.975
193,386,38.972
194,388,38.972
195,390,39.975
196,392,39.975
197,394,39.974
198,396,40.666
199,398,40.666
200,400,40.664
201,402,40.664
202,404,40.664
203,406,41.353
204,408,41.351
205,410,41.351
206,412,42.353
207,414,42.353
208,416,42.352
209,418,42.352
210,420,43.353
211,422,43.353
212,424,43.353
213,426,43.353
214,428,44.355
215,430,44.352
216,432,44.352
217,434,44.352
218,436,45.354
219,438,45.353
220,440,45.353
221,442,45.353
222,444,46.354
223,446,46.354
224,448,46.352
225,450,46.352
226,452,47.354
227,454,47.354
228,456,47.354
229,458,47.353
230,460,48.354
231,462,48.354
232,464,48.354
233,466,49.053
234,468,49.053
235,470,49.05
236,472,49.051
237,474,49.739
238,476,49.743
239,478,49.743
240,480,49.743
241,482,49.741
242,484,49.741
243,486,49.742
244,488,49.742
245,490,49.74
246,492,49.74
247,494,49.742
248,496,49.742
249,498,49.741
250,500,49.741
251,502,49.74
252,504,49.74
253,506,49.739
254,508,49.737
255,510,49.737
256,512,49.737
257,514,49.738
258,516,49.738
259,518,49.738
260,520,49.738
261,522,49.738
262,524,49.734
263,526,49.734
264,528,49.736
265,530,50.006
266,532,50.006
267,534,50.006
268,536,50.005
269,538,50.025
270,540,50.024
271,542,50.024
272,544,50.024
273,546,50.024
274,548,50.023
275,550,50.023
276,552,50.023
277,554,50.023
278,556,50.022
279,558,50.022
280,560,50.019
281,562,50.019
282,564,50.019
283,566,50.019
284,568,50.018
285,570,50.018
286,572,50.018
287,574,50.016
288,576,50.015
