,Time,Mass
0,0,0.0
1,2,0.0
2,4,0.0
3,6,0.0
4,8,0.0
5,10,0.0
6,12,0.0
7,14,0.0
8,16,0.0
9,18,0.0
10,20,0.0
11,22,0.0
12,24,0.0
13,26,0.0
14,28,0.0
15,30,0.0
16,32,0.0
17,34,0.0
18,36,0.0
19,38,0.0
20,40,-0.001
21,42,-0.001
22,44,0.0
23,46,0.0
24,48,0.0
25,50,0.0
26,52,0.0
27,54,0.0
28,56,-0.002
29,58,-0.003
30,60,-0.004
31,62,-0.003
32,64,-0.003
33,66,-0.003
34,68,-0.004
35,70,-0.004
36,72,0.993
37,74,0.993
38,76,0.993
39,78,0.993
40,80,1.993
41,82,1.993
42,84,1.993
43,86,1.993
44,88,2.991
45,90,2.992
46,92,2.993
47,94,3.994
48,96,3.994
49,98,3.994
50,100,3.994
51,102,4.993
52,104,4.993
53,106,4.993
54,108,4.993
55,110,5.995
56,112,6.824
57,114,6.824
58,116,6.824
59,118,6.823
60,120,7.654
61,122,7.654
62,124,7.654
63,126,7.656
64,128,8.652
65,130,8.652
66,132,8.652
67,134,8.652
68,136,9.648
69,138,9.648
70,140,9.647
71,142,9.647
72,144,10.642
73,146,10.643
74,148,10.641
75,150,10.642
76,152,11.638
77,154,11.638
78,156,11.637
79,158,11.637
80,160,12.631
81,162,12.631
82,164,12.631
83,166,12.631
84,168,13.62
85,170,13.62
86,172,13.62
87,174,13.62
88,176,14.609
89,178,14.609
90,180,14.609
91,182,14.609
92,184,15.597
93,186,15.597
94,188,15.597
95,190,16.136
96,192,16.136
97,194,16.136
98,196,16.673
99,198,16.673
100,200,16.673
101,202,16.674
102,204,17.682
103,206,17.67
104,208,17.672
105,210,18.668
106,212,18.668
107,214,18.666
108,216,18.666
109,218,19.66
110,220,19.66
111,222,19.659
112,224,19.661
113,226,20.653
114,228,20.653
115,230,20.654
116,232,20.654
117,234,21.65
118,236,22.642
119,238,22.642
120,240,22.642
121,242,23.467
122,244,23.471
123,246,23.473
124,248,24.302
125,250,24.301
126,252,24.299
127,254,24.299
128,256,25.308
129,258,25.308
130,260,25.307
131,262,25.307
132,264,26.316
133,266,26.316
134,268,26.315
135,270,26.314
136,272,27.318
137,274,27.318
138,276,27.317
139,278,27.316
140,280,28.326
141,282,28.326
142,284,28.326
143,286,28.326
144,288,29.324
145,290,29.325
146,292,29.325
147,294,29.324
148,296,30.331
149,298,30.33
150,300,30.329
151,302,30.329
152,304,31.333
153,306,31.332
154,308,31.332
155,310,31.332
156,312,32.341
157,314,32.339
158,316,32.339
159,318,32.875
160,320,32.875
161,322,32.873
162,324,33.409
163,326,33.409
164,328,33.407
165,330,33.407
166,332,34.412
167,334,34.411
168,336,34.41
169,338,34.41
170,340,35.417
171,342,35.416
172,344,35.415
173,346,35.415
174,348,36.424
175,350,36.423
176,352,36.422
177,354,36.422
178,356,37.428
179,358,37.427
180,360,37.427
181,362,37.426
182,364,38.429
183,366,38.429
184,368,38.428
185,370,38.428
186,372,39.426
187,374,39.425
188,376,39.424
189,378,39.424
190,380,40.181
191,382,40.181
192,384,40.181
193,386,40.181
194,388,40.933
195,390,40.933
196,392,40.932
197,394,40.932
198,396,41.94
199,398,41.939
200,400,41.938
201,402,41.938
202,404,41.938
203,406,42.946
204,408,42.945
205,410,42.945
206,412,43.95
207,414,43.95
208,416,43.949
209,418,43.949
210,420,44.955
211,422,44.955
212,424,44.953
213,426,44.953
214,428,45.963
215,430,45.963
216,432,45.961
217,434,45.96
218,436,46.962
219,438,46.96
220,440,46.96
221,442,47.758
222,444,47.757
223,446,47.755
224,448,47.756
225,450,48.552
226,452,48.553
227,454,48.556
228,456,48.556
229,458,48.555
230,460,48.555
231,462,48.555
232,464,48.553
233,466,48.553
234,468,48.551
235,470,48.553
236,472,48.556
237,474,48.556
238,476,48.555
239,478,48.554
240,480,48.554
241,482,48.554
242,484,48.554
243,486,48.553
244,488,48.553
245,490,48.552
246,492,48.552
247,494,48.552
248,496,48.552
249,498,48.552
250,500,48.552
251,502,48.551
252,504,48.551
253,506,48.551
254,508,48.551
255,510,48.551
256,512,48.551
257,514,48.551
258,516,48.551
259,518,48.551
260,520,48.551
261,522,48.549
262,524,48.548
263,526,48.549
264,528,48.549
265,530,49.275
266,532,49.277
267,534,49.279
268,536,49.279
269,538,49.28
270,540,49.28
271,542,49.28
272,544,49.28
273,546,49.28
274,548,49.28
275,550,49.28
276,552,49.28
277,554,49.279
278,556,49.279
279,558,49.279
280,560,49.277
281,562,49.276
282,564,49.275
283,566,49.275
284,568,49.275
285,570,49.275
286,572,49.273
287,574,49.273
