,Time,Mass
0,0,0.0
1,2,0.0
2,4,0.0
3,6,0.0
4,8,0.0
5,10,0.0
6,12,0.0
7,14,0.0
8,16,0.0
9,18,0.0
10,20,0.0
11,22,0.0
12,24,0.0
13,26,0.0
14,28,0.0
15,30,0.0
16,32,0.0
17,34,0.0
18,36,0.0
19,38,0.0
20,40,-0.002
21,42,-0.003
22,44,-0.004
23,46,-0.004
24,48,-0.004
25,50,-0.002
26,52,-0.003
27,54,-0.004
28,56,-0.003
29,58,1.001
30,60,1.001
31,62,1.0
32,64,0.999
33,66,1.989
34,68,1.994
35,70,1.993
36,72,1.992
37,74,1.992
38,76,2.982
39,78,2.985
40,80,2.986
41,82,2.985
42,84,2.986
43,86,3.972
44,88,3.975
45,90,3.976
46,92,3.975
47,94,3.976
48,96,3.976
49,98,4.967
50,100,4.967
51,102,4.967
52,104,4.967
53,106,5.938
54,108,5.94
55,110,5.941
56,112,5.941
57,114,5.941
58,116,6.681
59,118,6.682
60,120,6.684
61,122,6.683
62,124,6.684
63,126,7.425
64,128,7.427
65,130,7.428
66,132,7.427
67,134,7.427
68,136,8.423
69,138,8.427
70,140,8.427
71,142,8.427
72,144,8.425
73,146,9.42
74,148,9.421
75,150,9.424
76,152,10.418
77,154,10.418
78,156,10.416
79,158,10.416
80,160,11.405
81,162,11.407
82,164,11.409
83,166,11.409
84,168,11.408
85,170,12.399
86,172,12.401
87,174,12.4
88,176,12.399
89,178,12.402
90,180,13.388
91,182,13.389
92,184,13.392
93,186,13.391
94,188,13.391
95,190,14.173
96,192,14.175
97,194,14.178
98,196,14.176
99,198,14.177
100,200,14.956
101,202,14.958
102,204,14.96
103,206,14.96
104,208,14.96
105,210,15.954
106,212,15.954
107,214,15.953
108,216,15.953
109,218,16.948
110,220,16.948
111,222,16.947
112,224,16.947
113,226,17.946
114,228,17.946
115,230,17.944
116,232,17.946
117,234,18.916
118,236,18.919
119,238,18.919
120,240,18.919
121,242,18.919
122,244,19.916
123,246,19.916
124,248,19.915
125,250,19.915
126,252,20.904
127,254,20.908
128,256,20.909
129,258,20.909
130,260,20.909
131,262,21.566
132,264,21.569
133,266,21.569
134,268,21.568
135,270,22.214
136,272,22.214
137,274,22.212
138,276,22.212
139,278,22.212
140,280,23.211
141,282,23.209
142,284,23.209
143,286,24.207
144,288,24.207
145,290,24.206
146,292,24.206
147,294,25.202
148,296,25.202
149,298,25.2
150,300,25.2
151,302,26.181
152,304,26.181
153,306,26.182
154,308,26.182
155,310,27.181
156,312,27.18
157,314,27.179
158,316,27.179
159,318,28.178
160,320,28.176
161,322,28.175
162,324,28.176
163,326,28.925
164,328,28.925
165,330,28.922
166,332,28.922
167,334,29.669
168,336,29.669
169,338,29.666
170,340,30.649
171,342,30.647
172,344,30.647
173,346,30.647
174,348,31.643
175,350,31.642
176,352,31.64
177,354,31.641
178,356,32.634
179,358,32.632
180,360,32.631
181,362,32.633
182,364,33.634
183,366,33.634
184,368,33.632
185,370,33.632
186,372,34.634
187,374,34.634
188,376,34.633
189,378,34.633
190,380,35.615
191,382,35.615
192,384,35.614
193,386,36.215
194,388,36.215
195,390,36.212
196,392,36.814
197,394,36.814
198,396,36.813
199,398,36.813
200,400,37.815
201,402,37.815
202,404,37.813
203,406,37.813
204,408,38.811
205,410,38.811
206,412,38.81
207,414,38.81
208,416,39.81
209,418,39.81
210,420,39.808
211,422,39.808
212,424,39.808
213,426,40.811
214,428,40.81
215,430,40.81
216,432,41.797
217,434,41.797
218,436,41.796
219,438,41.796
220,440,41.796
221,442,42.782
222,444,42.78
223,446,43.368
224,448,43.368
225,450,43.366
226,452,43.366
227,454,43.958
228,456,43.961
229,458,43.961
230,460,43.961
231,462,43.96
232,464,43.96
233,466,43.96
234,468,43.956
235,470,43.956
236,472,43.958
237,474,43.959
238,476,43.96
239,478,43.961
240,480,43.959
241,482,43.959
242,484,43.958
243,486,43.958
244,488,43.956
245,490,43.955
246,492,43.955
247,494,43.955
248,496,43.956
249,498,43.956
250,500,43.956
251,502,43.955
252,504,43.955
253,506,43.955
254,508,43.954
255,510,43.954
256,512,43.954
257,514,43.954
258,516,43.954
259,518,43.954
260,520,43.954
261,522,43.954
262,524,43.954
263,526,43.954
264,528,43.954
265,530,43.954
266,532,43.952
267,534,44.535
268,536,44.535
269,538,44.535
270,540,44.582
271,542,44.582
272,544,44.582
273,546,44.582
274,548,44.582
275,550,44.611
276,552,44.611
277,554,44.639
278,556,44.639
279,558,44.665
280,560,44.665
281,562,44.665
282,564,44.666
283,566,44.691
284,568,44.691
285,570,44.69
286,572,44.69
287,574,44.689
