,Time,Mass
0,0,0.0
1,2,0.0
2,4,0.0
3,6,0.0
4,8,-0.001
5,10,0.0
6,12,0.0
7,14,0.0
8,16,0.0
9,18,0.0
10,20,0.0
11,22,0.0
12,24,0.0
13,26,0.001
14,28,0.0
15,30,0.0
16,32,0.0
17,34,0.0
18,36,0.001
19,38,0.0
20,40,0.0
21,42,0.0
22,44,0.0
23,46,0.0
24,48,0.0
25,50,0.0
26,52,0.0
27,54,0.0
28,56,0.0
29,58,0.0
30,60,0.0
31,62,0.0
32,64,-0.001
33,66,0.0
34,68,0.0
35,70,0.0
36,72,0.0
37,74,0.0
38,76,-0.001
39,78,0.001
40,80,-0.002
41,82,-0.003
42,84,-0.003
43,86,-0.003
44,88,-0.001
45,90,-0.003
46,92,-0.004
47,94,-0.003
48,96,0.976
49,98,0.977
50,100,0.98
51,102,0.978
52,104,0.978
53,106,2.002
54,108,2.001
55,110,2.0
56,112,2.002
57,114,2.997
58,116,3.0
59,118,3.001
60,120,3.001
61,122,3.001
62,124,3.974
63,126,3.975
64,128,3.977
65,130,3.977
66,132,3.977
67,134,3.977
68,136,4.953
69,138,4.954
70,140,4.954
71,142,4.956
72,144,5.927
73,146,5.931
74,148,5.934
75,150,6.733
76,152,6.734
77,154,6.735
78,156,6.734
79,158,6.734
80,160,7.533
81,162,7.534
82,164,7.535
83,166,7.536
84,168,8.516
85,170,8.518
86,172,8.521
87,174,8.519
88,176,8.519
89,178,9.495
90,180,9.498
91,182,9.498
92,184,9.497
93,186,9.498
94,188,10.48
95,190,10.48
96,192,10.48
97,194,10.48
98,196,11.456
99,198,11.459
100,200,11.46
101,202,11.46
102,204,11.459
103,206,12.436
104,208,12.438
105,210,12.441
106,212,12.44
107,214,12.44
108,216,13.42
109,218,13.42
110,220,13.419
111,222,13.419
112,224,14.085
113,226,14.087
114,228,14.089
115,230,14.087
116,232,14.088
117,234,14.752
118,236,14.755
119,238,14.757
120,240,14.756
121,242,14.756
122,244,15.73
123,246,15.734
124,248,15.735
125,250,15.735
126,252,15.734
127,254,16.713
128,256,16.713
129,258,16.713
130,260,16.713
131,262,17.687
132,264,17.691
133,266,17.692
134,268,17.691
135,270,17.69
136,272,18.669
137,274,18.669
138,276,18.669
139,278,18.669
140,280,19.647
141,282,19.646
142,284,19.646
143,286,20.625
144,288,20.624
145,290,20.625
146,292,21.165
147,294,21.167
148,296,21.173
149,298,21.168
150,300,21.745
151,302,21.744
152,304,21.743
153,306,21.741
154,308,22.742
155,310,22.743
156,312,22.743
157,314,23.743
158,316,23.742
159,318,23.741
160,320,23.74
161,322,24.746
162,324,24.745
163,326,24.743
164,328,24.743
165,330,25.749
166,332,25.748
167,334,25.747
168,336,25.745
169,338,26.748
170,340,26.748
171,342,26.749
172,344,26.746
173,346,27.751
174,348,27.751
175,350,27.75
176,352,27.751
177,354,28.498
178,356,28.498
179,358,28.496
180,360,28.496
181,362,29.244
182,364,29.244
183,366,29.242
184,368,29.242
185,370,30.245
186,372,30.245
187,374,30.245
188,376,30.243
189,378,31.215
190,380,31.215
191,382,31.212
192,384,32.217
193,386,32.217
194,388,32.216
195,390,32.216
196,392,33.188
197,394,33.188
198,396,33.187
199,398,33.187
200,400,34.164
201,402,34.16
202,404,34.16
203,406,34.161
204,408,35.162
205,410,35.162
206,412,35.16
207,414,35.694
208,416,35.694
209,418,35.693
210,420,36.22
211,422,36.218
212,424,36.218
213,426,36.218
214,428,37.218
215,430,37.218
216,432,37.214
217,434,37.215
218,436,38.189
219,438,38.189
220,440,38.187
221,442,38.187
222,444,39.188
223,446,39.188
224,448,39.186
225,450,39.186
226,452,40.188
227,454,40.187
228,456,40.186
229,458,40.186
230,460,41.185
231,462,41.185
232,464,41.182
233,466,42.189
234,468,42.186
235,470,42.964
236,472,42.963
237,474,42.96
238,476,42.96
239,478,42.96
240,480,43.735
241,482,43.734
242,484,43.734
243,486,43.734
244,488,43.734
245,490,43.736
246,492,43.731
247,494,43.731
248,496,43.731
249,498,43.732
250,500,43.733
251,502,43.733
252,504,43.733
253,506,43.731
254,508,43.731
255,510,43.729
256,512,43.729
257,514,43.728
258,516,43.728
259,518,43.728
260,520,43.728
261,522,43.729
262,524,43.728
263,526,43.728
264,528,43.728
265,530,43.728
266,532,43.728
267,534,43.728
268,536,43.728
269,538,43.726
270,540,43.726
271,542,43.726
272,544,44.302
273,546,44.302
274,548,44.302
275,550,44.301
276,552,44.301
277,554,44.3
278,556,44.336
279,558,44.336
280,560,44.335
281,562,44.337
282,564,44.336
283,566,44.334
284,568,44.333
285,570,44.333
286,572,44.333
287,574,44.331
