,Time,Mass
0,0,-0.001
1,2,-0.001
2,4,-0.001
3,6,-0.002
4,8,-0.002
5,10,-0.002
6,12,-0.002
7,14,-0.002
8,16,-0.002
9,18,-0.002
10,20,-0.002
11,22,-0.002
12,24,-0.002
13,26,-0.002
14,28,-0.002
15,30,-0.002
16,32,-0.002
17,34,-0.002
18,36,-0.002
19,38,-0.002
20,40,-0.002
21,42,-0.002
22,44,-0.002
23,46,-0.003
24,48,-0.002
25,50,-0.002
26,52,-0.002
27,54,-0.002
28,56,-0.002
29,58,-0.002
30,60,-0.003
31,62,-0.004
32,64,-0.003
33,66,-0.003
34,68,-0.003
35,70,-0.003
36,72,-0.003
37,74,-0.003
38,76,-0.001
39,78,-0.004
40,80,-0.004
41,82,-0.006
42,84,-0.006
43,86,-0.003
44,88,-0.005
45,90,-0.006
46,92,0.994
47,94,0.994
48,96,0.993
49,98,0.992
50,100,1.976
51,102,1.975
52,104,1.975
53,106,1.974
54,108,2.95
55,110,2.953
56,112,2.953
57,114,2.953
58,116,2.953
59,118,3.947
60,120,3.947
61,122,3.946
62,124,3.947
63,126,4.924
64,128,4.924
65,130,4.923
66,132,4.924
67,134,4.924
68,136,5.911
69,138,5.916
70,140,5.917
71,142,5.917
72,144,6.497
73,146,6.497
74,148,6.497
75,150,6.498
76,152,7.075
77,154,7.078
78,156,7.078
79,158,7.078
80,160,7.078
81,162,8.066
82,164,8.069
83,166,8.072
84,168,8.071
85,170,8.07
86,172,9.058
87,174,9.062
88,176,9.064
89,178,9.063
90,180,9.062
91,182,10.056
92,184,10.056
93,186,10.055
94,188,11.043
95,190,11.046
96,192,11.047
97,194,11.046
98,196,11.047
99,198,12.038
100,200,12.038
101,202,12.038
102,204,12.037
103,206,13.032
104,208,13.032
105,210,13.03
106,212,13.031
107,214,13.772
108,216,13.772
109,218,13.772
110,220,14.513
111,222,14.516
112,224,14.518
113,226,14.517
114,228,14.516
115,230,15.509
116,232,15.509
117,234,15.508
118,236,15.508
119,238,16.499
120,240,16.498
121,242,16.498
122,244,16.498
123,246,17.489
124,248,17.489
125,250,17.488
126,252,17.487
127,254,18.478
128,256,18.478
129,258,18.478
130,260,18.478
131,262,19.471
132,264,19.471
133,266,19.469
134,268,19.469
135,270,20.462
136,272,20.462
137,274,20.46
138,276,20.46
139,278,21.373
140,280,21.373
141,282,21.372
142,284,21.372
143,286,22.284
144,288,22.284
145,290,22.283
146,292,22.283
147,294,23.289
148,296,23.289
149,298,23.286
150,300,23.286
151,302,24.291
152,304,24.291
153,306,24.29
154,308,24.289
155,310,25.278
156,312,25.278
157,314,25.277
158,316,25.277
159,318,26.281
160,320,26.281
161,322,26.28
162,324,26.28
163,326,27.283
164,328,27.283
165,330,27.282
166,332,27.282
167,334,28.287
168,336,28.286
169,338,28.286
170,340,28.963
171,342,28.963
172,344,28.961
173,346,28.961
174,348,29.628
175,350,29.628
176,352,29.625
177,354,29.625
178,356,30.613
179,358,30.613
180,360,30.612
181,362,30.612
182,364,31.616
183,366,31.616
184,368,31.614
185,370,31.614
186,372,31.614
187,374,32.619
188,376,32.618
189,378,32.618
190,380,33.622
191,382,33.622
192,384,33.622
193,386,33.62
194,388,34.625
195,390,34.625
196,392,34.623
197,394,34.623
198,396,35.627
199,398,35.626
200,400,35.626
201,402,36.429
202,404,36.429
203,406,36.428
204,408,36.428
205,410,37.231
206,412,37.231
207,414,37.228
208,416,37.228
209,418,38.232
210,420,38.231
211,422,38.231
212,424,38.231
213,426,39.233
214,428,39.233
215,430,39.233
216,432,39.232
217,434,40.236
218,436,40.236
219,438,40.235
220,440,40.235
221,442,41.239
222,444,41.239
223,446,41.237
224,448,41.237
225,450,42.242
226,452,42.241
227,454,42.239
228,456,42.239
229,458,43.244
230,460,43.243
231,462,43.241
232,464,43.241
233,466,44.103
234,468,44.103
235,470,44.101
236,472,44.101
237,474,44.959
238,476,44.96
239,478,44.962
240,480,44.962
241,482,44.962
242,484,44.961
243,486,44.961
244,488,44.96
245,490,44.96
246,492,44.959
247,494,44.961
248,496,44.961
249,498,44.961
250,500,44.961
251,502,44.96
252,504,44.96
253,506,44.958
254,508,44.958
255,510,44.958
256,512,44.957
257,514,44.957
258,516,44.956
259,518,44.956
260,520,44.956
261,522,44.956
262,524,44.956
263,526,44.956
264,528,44.956
265,530,44.956
266,532,44.957
267,534,44.957
268,536,44.955
269,538,44.956
270,540,45.509
271,542,45.524
272,544,45.524
273,546,45.524
274,548,45.524
275,550,45.548
276,552,45.547
277,554,45.547
278,556,45.547
279,558,45.545
280,560,45.546
281,562,45.546
282,564,45.546
283,566,45.568
284,568,45.568
285,570,45.568
286,572,45.567
287,574,45.568
288,576,45.568
289,578,45.567
290,580,45.567
291,582,45.567
292,584,45.566
293,586,45.566
294,588,45.565
295,590,45.565
296,592,45.565
297,594,45.564
298,596,45.564
299,598,45.564
300,600,45.564
301,602,45.564
302,604,45.564
303,606,45.564
304,608,45.565
305,610,45.565
306,612,45.565
307,614,45.564
308,616,45.564
309,618,46.179
310,620,46.179
311,622,46.179
312,624,46.178
313,626,46.208
314,628,46.208
315,630,46.208
316,632,46.208
317,634,46.208
318,636,46.207
319,638,46.207
320,640,46.23
321,642,46.23
322,644,46.23
323,646,46.23
324,648,46.254
325,650,46.255
326,652,46.255
327,654,46.255
328,656,46.253
329,658,46.253
330,660,46.251
331,662,46.253
332,664,46.252
333,666,46.252
334,668,46.251
335,670,46.251
336,672,46.251
337,674,46.25
338,676,46.25
339,678,46.25
340,680,46.251
341,682,46.251
342,684,46.251
343,686,46.251
344,688,46.251
345,690,46.25
346,692,46.25
347,694,46.815
348,696,46.815
349,698,46.815
350,700,46.815
351,702,46.843
352,704,46.843
353,706,46.844
354,708,46.844
355,710,46.844
356,712,46.844
357,714,46.844
358,716,46.844
359,718,46.87
360,720,46.87
361,722,46.87
362,724,46.87
363,726,46.871
364,728,46.871
365,730,46.871
366,732,46.871
367,734,46.87
368,736,46.869
369,738,46.869
370,740,46.868
371,742,46.868
372,744,46.867
373,746,46.867
374,748,46.868
375,750,46.867
376,752,46.867
377,754,46.867
378,756,46.867
379,758,46.868
380,760,46.868
381,762,46.868
382,764,46.867
383,766,46.866
384,768,46.866
385,770,47.42
386,772,47.447
387,774,47.447
388,776,47.447
389,778,47.447
390,780,47.47
391,782,47.47
392,784,47.47
393,786,47.469
394,788,47.469
395,790,47.469
396,792,47.5
397,794,47.5
398,796,47.5
399,798,47.5
400,800,47.5
401,802,47.502
402,804,47.501
403,806,47.501
404,808,47.5
405,810,47.5
406,812,47.5
407,814,47.499
408,816,47.499
409,818,47.498
410,820,47.498
411,822,47.498
412,824,47.498
413,826,47.498
414,828,47.498
415,830,47.497
416,832,47.496
417,834,47.496
418,836,47.496
419,838,47.496
420,840,47.496
421,842,47.496
422,844,47.497
423,846,47.497
424,848,47.496
425,850,47.496
426,852,48.326
427,854,48.326
428,856,48.326
429,858,48.326
430,860,48.355
431,862,48.355
432,864,48.375
433,866,48.375
434,868,48.374
435,870,48.374
436,872,48.374
437,874,48.396
438,876,48.396
439,878,48.396
440,880,48.397
441,882,48.396
442,884,48.394
443,886,48.395
444,888,48.395
445,890,48.395
446,892,48.395
447,894,48.395
448,896,48.394
449,898,48.394
450,900,48.392
451,902,48.394
452,904,48.393
453,906,48.394
454,908,48.394
455,910,48.393
456,912,48.392
457,914,48.392
458,916,48.392
459,918,48.392
460,920,48.392
461,922,48.391
462,924,48.391
463,926,48.391
464,928,48.391
465,930,48.391
466,932,48.391
467,934,48.389
468,936,48.389
469,938,48.391
470,940,48.391
471,942,48.391
472,944,48.39
473,946,48.389
474,948,48.39
475,950,48.767
476,952,48.767
477,954,48.766
478,956,48.8
479,958,48.8
480,960,48.8
481,962,48.831
482,964,48.831
483,966,48.862
484,968,48.862
485,970,48.893
486,972,48.893
487,974,48.893
488,976,48.893
489,978,48.924
490,980,48.924
491,982,48.924
492,984,48.923
493,986,48.923
494,988,48.922
495,990,48.922
496,992,48.922
497,994,48.922
498,996,48.92
499,998,48.92
500,1000,48.92
501,1002,48.92
502,1004,48.92
503,1006,48.92
504,1008,48.92
505,1010,48.92
506,1012,48.921
507,1014,48.921
508,1016,48.921
509,1018,48.921
510,1020,48.919
511,1022,48.919
512,1024,48.918
513,1026,49.417
514,1028,49.417
515,1030,49.417
516,1032,49.416
517,1034,49.449
518,1036,49.449
519,1038,49.48
520,1040,49.48
521,1042,49.51
522,1044,49.51
523,1046,49.536
524,1048,49.536
525,1050,49.536
526,1052,49.537
527,1054,49.538
528,1056,49.538
529,1058,49.537
530,1060,49.537
531,1062,49.535
532,1064,49.535
533,1066,49.535
534,1068,49.534
535,1070,49.534
536,1072,49.534
537,1074,49.534
538,1076,49.534
539,1078,49.534
540,1080,49.533
541,1082,49.533
542,1084,49.532
543,1086,49.532
544,1088,49.532
545,1090,49.532
546,1092,49.532
547,1094,49.532
548,1096,49.532
549,1098,49.532
550,1100,49.532
551,1102,49.533
552,1104,49.531
553,1106,49.531
554,1108,49.531
555,1110,50.294
556,1112,50.294
557,1114,50.294
558,1116,50.294
559,1118,50.294
560,1120,50.294
561,1122,50.328
562,1124,50.328
563,1126,50.357
564,1128,50.357
565,1130,50.385
566,1132,50.385
567,1134,50.413
568,1136,50.413
569,1138,50.437
570,1140,50.439
571,1142,50.442
572,1144,50.442
573,1146,50.441
574,1148,50.441
575,1150,50.441
576,1152,50.439
577,1154,50.439
578,1156,50.437
579,1158,50.439
580,1160,50.44
581,1162,50.441
582,1164,50.44
583,1166,50.439
584,1168,50.439
585,1170,50.439
586,1172,50.439
587,1174,50.438
588,1176,50.438
589,1178,50.438
590,1180,50.438
591,1182,50.437
592,1184,50.437
593,1186,50.437
594,1188,50.436
595,1190,50.436
596,1192,50.436
597,1194,50.436
598,1196,50.436
599,1198,50.435
600,1200,50.435
601,1202,50.435
602,1204,50.435
603,1206,50.435
604,1208,50.435
605,1210,50.435
606,1212,50.436
607,1214,51.087
608,1216,51.087
609,1218,51.087
610,1220,51.112
611,1222,51.112
612,1224,51.131
613,1226,51.131
614,1228,51.158
615,1230,51.158
616,1232,51.158
617,1234,51.158
618,1236,51.184
619,1238,51.184
620,1240,51.183
621,1242,51.18
622,1244,51.184
623,1246,51.184
624,1248,51.184
625,1250,51.183
626,1252,51.183
627,1254,51.181
628,1256,51.181
629,1258,51.18
630,1260,51.182
631,1262,51.184
632,1264,51.184
633,1266,51.183
634,1268,51.182
635,1270,51.182
636,1272,51.181
637,1274,51.181
638,1276,51.18
639,1278,51.18
640,1280,51.18
641,1282,51.18
642,1284,51.18
643,1286,51.179
644,1288,51.179
645,1290,51.179
646,1292,51.179
647,1294,51.179
648,1296,51.179
649,1298,51.178
650,1300,51.178
651,1302,51.178
652,1304,51.178
653,1306,51.178
654,1308,51.179
655,1310,51.177
656,1312,51.176
657,1314,51.99
658,1316,51.99
659,1318,51.99
660,1320,51.99
661,1322,51.99
662,1324,51.988
663,1326,52.011
664,1328,52.011
665,1330,52.011
666,1332,52.011
667,1334,52.011
668,1336,52.011
669,1338,52.011
670,1340,52.01
671,1342,52.009
672,1344,52.009
673,1346,52.007
674,1348,52.01
675,1350,52.01
676,1352,52.009
677,1354,52.009
678,1356,52.009
679,1358,52.012
680,1360,52.007
681,1362,52.005
682,1364,52.007
683,1366,52.006
684,1368,52.009
685,1370,52.008
686,1372,52.008
687,1374,52.007
688,1376,52.006
689,1378,52.006
690,1380,52.006
691,1382,52.006
692,1384,52.006
693,1386,52.005
694,1388,52.005
695,1390,52.005
696,1392,52.005
697,1394,52.005
698,1396,52.005
699,1398,52.004
700,1400,52.005
701,1402,52.006
702,1404,52.006
703,1406,52.004
704,1408,52.004
705,1410,52.546
706,1412,52.546
707,1414,52.545
708,1416,52.545
709,1418,52.545
710,1420,52.544
711,1422,52.544
712,1424,52.544
713,1426,52.544
714,1428,52.544
715,1430,52.544
716,1432,52.543
717,1434,52.543
718,1436,52.542
719,1438,52.542
720,1440,52.542
721,1442,52.542
722,1444,52.543
723,1446,52.543
724,1448,52.543
725,1450,52.542
726,1452,52.541
727,1454,52.541
728,1456,52.541
729,1458,52.541
730,1460,52.541
731,1462,52.541
732,1464,52.54
733,1466,52.54
734,1468,52.54
735,1470,52.54
736,1472,52.54
737,1474,52.541
738,1476,52.541
739,1478,52.541
740,1480,52.541
741,1482,52.54
742,1484,52.542
743,1486,53.108
744,1488,53.108
745,1490,53.107
746,1492,53.107
747,1494,53.106
748,1496,53.106
749,1498,53.106
750,1500,53.106
751,1502,53.125
752,1504,53.125
753,1506,53.125
754,1508,53.125
755,1510,53.125
756,1512,53.125
757,1514,53.125
758,1516,53.124
759,1518,53.124
760,1520,53.124
761,1522,53.124
762,1524,53.124
763,1526,53.124
764,1528,53.124
765,1530,53.122
766,1532,53.122
767,1534,53.12
